INSERTED,DELETED,MODIFIED,FILENAME
42,185,0,file list
51,52,0,system/apex/com.android.conscrypt.apex::AndroidManifest.xml
11,5,0,system/apex/com.android.conscrypt.apex::META-INF/CERT.SF
10,6,0,system/apex/com.android.conscrypt.apex::META-INF/MANIFEST.MF
1,1,0,system/apex/com.android.conscrypt.apex::apex_manifest.json
6,0,0,system/apex/com.android.conscrypt.apex::zipnote «TEMP»/diffoscope_cn3b5rpx/tmprebiouj0.zip
51,52,0,system/apex/com.android.media.apex::AndroidManifest.xml
11,5,0,system/apex/com.android.media.apex::META-INF/CERT.SF
10,6,0,system/apex/com.android.media.apex::META-INF/MANIFEST.MF
1,1,0,system/apex/com.android.media.apex::apex_manifest.json
6,0,0,system/apex/com.android.media.apex::zipnote «TEMP»/diffoscope_cn3b5rpx/tmpxgn5ocj7.zip
52,53,0,system/apex/com.android.media.swcodec.apex::AndroidManifest.xml
11,5,0,system/apex/com.android.media.swcodec.apex::META-INF/CERT.SF
10,6,0,system/apex/com.android.media.swcodec.apex::META-INF/MANIFEST.MF
1,1,0,system/apex/com.android.media.swcodec.apex::apex_manifest.json
6,0,0,system/apex/com.android.media.swcodec.apex::zipnote «TEMP»/diffoscope_cn3b5rpx/tmpus3cykft.zip
50,51,0,system/apex/com.android.resolv.apex::AndroidManifest.xml
11,5,0,system/apex/com.android.resolv.apex::META-INF/CERT.SF
10,6,0,system/apex/com.android.resolv.apex::META-INF/MANIFEST.MF
1,1,0,system/apex/com.android.resolv.apex::apex_manifest.json
6,0,0,system/apex/com.android.resolv.apex::zipnote «TEMP»/diffoscope_cn3b5rpx/tmpj24vjd1r.zip
50,52,0,system/apex/com.android.runtime.release.apex::AndroidManifest.xml
4,4,0,system/apex/com.android.runtime.release.apex::META-INF/CERT.SF
3,3,0,system/apex/com.android.runtime.release.apex::META-INF/MANIFEST.MF
51,52,0,system/apex/com.android.tzdata.apex::AndroidManifest.xml
11,5,0,system/apex/com.android.tzdata.apex::META-INF/CERT.SF
10,6,0,system/apex/com.android.tzdata.apex::META-INF/MANIFEST.MF
1,1,0,system/apex/com.android.tzdata.apex::apex_manifest.json
6,0,0,system/apex/com.android.tzdata.apex::zipnote «TEMP»/diffoscope_cn3b5rpx/tmp3ticz1rc.zip
5,5,0,system/apex::file list
3,3,0,system/app/BasicDreams/BasicDreams.apk::zipinfo {}
3,3,0,system/app/Bluetooth/Bluetooth.apk::zipinfo {}
3,3,0,system/app/BluetoothMidiService/BluetoothMidiService.apk::zipinfo {}
3,3,0,system/app/BookmarkProvider/BookmarkProvider.apk::zipinfo {}
3,3,0,system/app/BuiltInPrintService/BuiltInPrintService.apk::zipinfo {}
3,3,0,system/app/CarrierDefaultApp/CarrierDefaultApp.apk::zipinfo {}
3,3,0,system/app/CertInstaller/CertInstaller.apk::zipinfo {}
3,3,0,system/app/CompanionDeviceManager/CompanionDeviceManager.apk::zipinfo {}
3,3,0,system/app/EasterEgg/EasterEgg.apk::zipinfo {}
3,3,0,system/app/HTMLViewer/HTMLViewer.apk::zipinfo {}
3,3,0,system/app/KeyChain/KeyChain.apk::zipinfo {}
3,3,0,system/app/LiveWallpapersPicker/LiveWallpapersPicker.apk::zipinfo {}
3,3,0,system/app/NfcNci/NfcNci.apk::zipinfo {}
3,3,0,system/app/OsuLogin/OsuLogin.apk::zipinfo {}
3,3,0,system/app/PacProcessor/PacProcessor.apk::zipinfo {}
3,3,0,system/app/PartnerBookmarksProvider/PartnerBookmarksProvider.apk::zipinfo {}
3,3,0,system/app/PresencePolling/PresencePolling.apk::zipinfo {}
3,3,0,system/app/PrintSpooler/PrintSpooler.apk::zipinfo {}
3,3,0,system/app/QtiTelephonyService/QtiTelephonyService.apk::zipinfo {}
3,3,0,system/app/RcsService/RcsService.apk::zipinfo {}
3,3,0,system/app/SafetyRegulatoryInfo/SafetyRegulatoryInfo.apk::zipinfo {}
3,3,0,system/app/SecureElement/SecureElement.apk::zipinfo {}
3,3,0,system/app/SimAppDialog/SimAppDialog.apk::zipinfo {}
3,3,0,system/app/Stk/Stk.apk::zipinfo {}
3,3,0,system/app/Traceur/Traceur.apk::zipinfo {}
3,3,0,system/app/WallpaperBackup/WallpaperBackup.apk::zipinfo {}
8,28,0,system/app::file list
0,2,0,system/bin::file list
114,19,0,system/build.prop
2,2,0,system/etc/permissions/com.android.documentsui.xml
6,10,0,system/etc/permissions::file list
0,1,0,system/etc/prop.default
1,1,0,system/etc/security/otacerts.zip::zipnote {}
3,3,0,system/etc/selinux/plat_mac_permissions.xml
7,7,0,system/etc/update_engine/update-payload-key.pub.pem
5,9,0,system/etc::file list
3,3,0,system/framework/framework-res.apk::zipinfo {}
0,16,0,system/framework/oat/arm64::file list
0,16,0,system/framework/oat/arm::file list
0,32,0,system/framework/oat::file list
5,35,0,system/framework::file list
3,43,0,system/lib64::file list
2,43,0,system/lib::file list
3,3,0,system/priv-app/BackupRestoreConfirmation/BackupRestoreConfirmation.apk::zipinfo {}
3,3,0,system/priv-app/BlockedNumberProvider/BlockedNumberProvider.apk::zipinfo {}
3,3,0,system/priv-app/CalendarProvider/CalendarProvider.apk::zipinfo {}
3,3,0,system/priv-app/CallLogBackup/CallLogBackup.apk::zipinfo {}
3,3,0,system/priv-app/CellBroadcastReceiver/CellBroadcastReceiver.apk::zipinfo {}
3,3,0,system/priv-app/ContactsProvider/ContactsProvider.apk::zipinfo {}
3,3,0,system/priv-app/DownloadProvider/DownloadProvider.apk::zipinfo {}
3,3,0,system/priv-app/DownloadProviderUi/DownloadProviderUi.apk::zipinfo {}
3,3,0,system/priv-app/DynamicSystemInstallationService/DynamicSystemInstallationService.apk::zipinfo {}
3,3,0,system/priv-app/ExternalStorageProvider/ExternalStorageProvider.apk::zipinfo {}
3,3,0,system/priv-app/FusedLocation/FusedLocation.apk::zipinfo {}
3,3,0,system/priv-app/InputDevices/InputDevices.apk::zipinfo {}
3,3,0,system/priv-app/LocalTransport/LocalTransport.apk::zipinfo {}
3,3,0,system/priv-app/ManagedProvisioning/ManagedProvisioning.apk::zipinfo {}
3,3,0,system/priv-app/MediaProvider/MediaProvider.apk::zipinfo {}
3,3,0,system/priv-app/MmsService/MmsService.apk::zipinfo {}
3,3,0,system/priv-app/MtpDocumentsProvider/MtpDocumentsProvider.apk::zipinfo {}
3,3,0,system/priv-app/MusicFX/MusicFX.apk::zipinfo {}
3,3,0,system/priv-app/ONS/ONS.apk::zipinfo {}
3,3,0,system/priv-app/ProxyHandler/ProxyHandler.apk::zipinfo {}
3,3,0,system/priv-app/SettingsProvider/SettingsProvider.apk::zipinfo {}
3,3,0,system/priv-app/SharedStorageBackup/SharedStorageBackup.apk::zipinfo {}
3,3,0,system/priv-app/Shell/Shell.apk::zipinfo {}
